code,name,price,stock,FL Lotte,FL Takashimaya,FL Estella,FL Crescent Mall,Sale Online,FL Event HCM,Kho VP805,Kho GKCPP,Kho FL,Kho ADC,FL Sai Dong,Kho HN_Thanh lý,Kho HCM_Thanh lý
EP-97025,Hàng Marketing_Thỏ Chocolate 90cm,"7,649,000",3,,,2,,,,,,,,,,1
TA-514890,Đồ chơi Starter Workshop,"460,000",3,,,,,,,,,3,,,,
TA-514906,Đồ chơi Deluxe Workshop,"1,200,000",1,,,1,,,,,,,,,,
TA-514913,Đồ chơi Kid Wood M,"360,000",7,,,6,,,,,,1,,,,
TA-514937,"Đồ chơi Nail, Screw and Hinge","290,000",6,,,,,,,,,6,,,,
TA-514944,Đồ chơi Driver and Hold Cutter,"260,000",12,,,,,,,,,12,,,,
TA-514951,Đồ chơi Saw and Guide,"260,000",6,,,,,,,,,6,,,,
TY-69570,Linh kiện dường đua,"2,590,000",4,,,,,,,,,,,,4,
TY-69571,Linh kiện dường đua,"1,890,000",4,,,,,,,,,,,,4,
TM-257271,Đồ chơi Tomica World 257271 - Tomica Parking Case,"490,000",2,,,,,,,,,2,,,,
TM-329473,Minnie Toy Charm,"240,000",1,,,,,,,,,,,,1,
TM-421511,Đồ chơi mô hình S-20 Tsubame Express,"390,000",5,3,,2,,,,,,,,,,
TM-430681,Đồ chơi mô hình Vehicle Base Rail Set,"790,000",5,5,,,,,,,,,,,,
TM-457152,Đồ chơi N700 Shinkansen Set,"950,000",38,,,4,,,,,,4,30,,,
TM-470724,Đồ chơi mô hình Doctor Yellow Set,"890,000",4,4,,,,,,,,,,,,
TM-471417,Đồ chơi mô hình Palm Pet Happy Pikachu,"349,000",1,,,1,,,,,,,,,,
TM-471431,Đồ chơi mô hình Palm Pet Lovely Pikachu,"349,000",1,,,1,,,,,,,,,,
TM-478751,Đồ chơi mô hình E233 Saikyo Line,"390,000",18,,,,,,,,,,18,,,
TM-491958,Line Label Maker,"750,000",1,,,,,,,,,1,,,,
TM-494041,Flight Shumilator Dusty,"1,400,000",1,,,,,,,,,,,,1,
TM-6555,Megasketcher,"790,000",6,,,6,,,,,,,,,,
TM-72194,Stack 'N' Play Lighthouse,"680,000",2,,,2,,,,,,,,,,
TM-72196,Protect 'N' Play I-Case,"460,000",3,,,,,,,,,,,,3,
TM-72215,Poppin' Penguin Island,"680,000",1,,,,,,,,,,,,1,
TM-805151,Samuraiborg Enzan,"980,000",1,,,,,,,,,1,,,,
TM-813996,Đồ chơi mô hình E5 & E6 Connecting Set,"950,000",42,2,,11,,,,,,5,24,,,
TM-826576,M-02 Movin Movin Woody,"160,000",41,,,,,,,,,39,,2,,
TM-826651,M-10 Movin Movin Fric,"160,000",1,,,,,,,,,1,,,,
TM-826668,M-04 Movin Movin Remy,"160,000",1,,,,,,,,,1,,,,
TM-832829,Fullchara Ice Mag Nemo & Dory,"499,000",8,,,,,,,,,8,,,,
TM-835516,Movin' Movin I/O Anger,"180,000",7,,,,,,,,,6,,1,,
TM-835547,Movin' Movin I/O Bing Bong,"180,000",7,,,,,,,,,3,,4,,
TM-844693,Tomica Toy Story Buzz And Space Ship,"279,000",7,,,,,,,,,6,,,,1
TM-844709,Tomica Toy Story Allen And Rocket,"279,000",15,,,,,,,,,14,,,1,
TM-844716,Tomica Toy Story  Jessie And Toy Box Carriage,"279,000",81,14,,30,7,,,,,28,,,1,1
TM-844723,Tomica Toy Story Woody And Rc,"279,000",80,17,,14,8,,,,,40,,,1,
TM-844747,Tomica Toy Story Green Army Men & Military Motor,"279,000",17,1,,,,,,,,14,,,2,
TM-L62006V,Vivian (Young Ankylosaurus),"319,000",4,,,,,,,,,,,4,,
TM-L62023V,Bubbha (Raptor),"529,000",4,,,,,,,,,,,4,,
TM-L70002,Judy & Bellwether,"299,000",3,,,,,,,,,,,3,,
TM-L70004,Mayor Lionheart & Lemming,"259,000",5,,,,,,,,,5,,,,
TM-L70006,Clawhauser & Bat Eyewitness,"259,000",7,,,,,,,,,,,7,,
TM-L70021,Judy's Meter Maid Pursuit,"599,000",1,,,,,,,,,,,1,,
TM-L70022,Nick's Convertible,"599,000",30,,,,,,,,,9,,21,,
TM-L70904,Operation Red Wood,"799,000",1,,,,,,,,,,,1,,
3281PK,Wheels,"148,000",1,,,,,,,,,,,1,,
3574XP,Metal Drifter,"798,000",4,1,,,,,,,,,,3,,
3575XP,Speed Beetle,"248,000",1,,,,,,,,,,,1,,
3588XP,FH Zero,"598,000",1,,,,,,,,,,,1,,
3589XP,Strix,"1,298,000",6,2,,,,,,,,,,4,,
3593XP,Echo 2,"1,098,000",4,1,,,,,,,,,,3,,
3596XC,Hayabusa,"598,000",21,3,,,,,,,,,,18,,
3597XP,Skyhawk,"698,000",16,2,,,,,,,,,,14,,
3598XP,Torque,"1,148,000",10,,,,,,,,,,,10,,
3601XP,Flipside,"498,000",12,2,,,,,,,,,,10,,
3602XP,Hornet,"448,000",2,2,,,,,,,,,,,,
3603XP,Metal racer,"798,000",11,3,,,,,,,,,,8,,
72321-2,Mô hình cầu thủ  Bio Wadelio - 7,"208,000",1,,,,,,,,,,,1,,
72321-3,Mô hình cầu thủ Bio Pulse - 8,"208,000",5,,,,,,,,,,,5,,
72321-5,Mô hình cầu thủ Ka - 10,"208,000",19,,,,,,,,,,,19,,
72325,Bộ bàn đấu,"198,000",29,,,,,,,,,,,29,,
9072XP,Barracuda,"1,498,000",3,,,,,,,,,,,3,,
BB080AV-029DB,Cặp chống gù JL - Chiến binh dũng cảm,"1,390,000",5,2,,3,,,,,,,,,,
BB080AV-030DP,Cặp chống gù NQ - Wakanda Forever,"1,250,000",7,4,,3,,,,,,,,,,
BB08MCS-036DB,Cặp chống gù JL - Người nhện siêu đẳng,"1,390,000",3,2,,1,,,,,,,,,,
BB08MCS-037RD,Cặp chống gù NQ - Chàng nhện vui tính,"1,250,000",1,1,,,,,,,,,,,,
BB08PPC-023LB,Cặp chống gù NQ - Nữ hoàng băng giá,"1,250,000",1,,,1,,,,,,,,,,
BB08TMF-014LM,Cặp chống gù NQ - Minnie yêu kiều,"1,250,000",4,,,4,,,,,,,,,,
670368,Lớp Học Mật Ngữ,"440,000",1,,,1,,,,,,,,,,
WT-124ORG-M-L,Cáo Fennis đứng L - Bộ màu,"610,000",2,,,2,,,,,,,,,,
WT-131WHI-M,Sư tử con ngồi - Bộ Platinum,"336,000",1,,,1,,,,,,,,,,
WT-167YEL-F-VN,Sư tử Ari Việt Nam,"525,000",1,,,1,,,,,,,,,,
WT-169ACR-M-L,Gấu Bobbie tinh nghịch,"500,000",1,,,1,,,,,,,,,,
WT-169ACR-M-VN,Gấu Bobbie Việt Nam,"525,000",2,,,2,,,,,,,,,,
WT-171BEI-M-L,Kangaroo Karu tinh nghịch,"500,000",1,,,1,,,,,,,,,,
WT-212CRE-M-M,Cừu Poppy đứng M -Bộ màu,"460,000",1,,,1,,,,,,,,,,
WT-213ORG-M-M,Cáo Fennis đứng M - Bộ màu,"460,000",3,,,3,,,,,,,,,,
60012K,Xe bé tập đi,"320,000",1,,,,,,,,,1,,,,
61252,Ngựa xếp bập bênh ,"664,000",2,,,,,,,1,,1,,,,
62012K,Xe chó chở đồ chơi ,"360,000",1,,,,,,,,,1,,,,
62062,Đàn hình rùa,"162,000",1,,,,,,,,,,,1,,
62342,Đĩa cân bằng,"190,000",1,,,,,,,,,,,1,,
63082,Thảy vòng chú hề,"119,000",3,,,,,,,,,,,2,1,
65032,Bộ Nấu Ăn,"315,000",1,,,,,,,1,,,,,,
65242,Bé tập làm bác sĩ,"264,000",4,,,,,,,1,,,,3,,
66032,Bếp nướng,"297,000",2,,,,,,,,,,,2,,
66222,Trò chơi tìm hình,"241,000",1,,,,,,,,,,,1,,
66292,Xe Thể Thao,"126,000",4,,,,,,,,,3,,1,,
66382,Bộ Luyện Viết Chữ,"504,000",1,,,,,,,,,,,1,,
67262,Máy Bay Thể Thao,"93,000",2,,,,,,,,,1,,1,,
67302,Xe Đua Địa Hình,"120,000",5,,,,,,,,,,,5,,
67362,Bộ câu lý thú,"160,000",1,,,,,,,1,,,,,,
68442,Bé vui học chữ,"55,000",2,,,,,,,,,1,,1,,
69172,Hộp Xếp Hình Thể Thao,"105,000",23,,,,,,,,,12,,11,,
0003ABC996287,Xe scooter trẻ em ABC,"2,190,000",4,,,,,,,1,,,,,3,
125YYFL,Yoyo Promotion Funnyland,"139,000",259,6,3,1,,,,,,16,,233,,
18-56011,Xe hơi Bburago 2016,"79,000",30,,,30,,,,,,,,,,
18-56098,"1:64 Ferrari R&P Endurance Track, Incl. 1 Car, Ean 4 893993 ","669,000",2,,,,,,,,,,,2,,
75YYFL,Yoyo cơ bản Funnyland,"99,000",56,,,,,,,,,,,56,,
BANXOAY,Bàn xoay trưng bày sản phẩm,"100,000",87,,,2,,,,6,,44,,35,,
BX1236Z,Xe điều khiển không gian B.Toys,"749,000",1,,,,,,,,,1,,,,
BX1255Z,Hornbill Water Whistle,"109,000",3,,,,,,,,,,,3,,
BX1258Z,Elephant Ocarina,"89,000",1,,,,,,,,,,,1,,
BX1283Z,Game chơi nước B.Toys,"139,000",1,,,,,,,,,1,,,,
BX1325Z,Tàu ngầm lắp ráp B.Toys,"619,000",7,6,,,,,,,,1,,,,
BX1336Z,Bộ khuôn xây Lâu đài cát B.Toys,"79,000",16,,,,,,,,,16,,,,
BX1337Z,Bộ khuôn xây Lâu đài cát B.Toys,"79,000",15,,,,,,,,,15,,,,
BX1392Z,Xe kéo Cún cưng,"290,000",1,,,,,,,,,1,,,,
BX1393Z,Xe kéo Heo con,"290,000",1,,,,,,,,,1,,,,
BX1412Z,Xẻng xúc cát B.Toys (Lớn),"179,000",1,,,,,,,,,1,,,,
BX1443Z,Cây cào cát B.Toys (Lớn),"179,000",11,4,,,,,,,,7,,,,
BX1464Z,B. Activity Suction Toy,"599,000",1,,,,,,,,,1,,,,
BX1470Z,Play Tunnel,"990,000",1,,,1,,,,,,,,,,
BX1502,Mini Retro Van,"219,000",1,,,,,,,,,1,,,,
BX1521Z,Vợt bắt cá B.Toys,"429,000",1,,,,,,,,,1,,,,
EE32587,Vịt kéo,"219,000",3,,,3,,,,,,,,,,
EE33267,Xếp chồng Chú hề vàng,"199,000",1,,,,,,,,,,,1,,
EE33568,Khủng long Velociraptor,"199,000",2,,,,,,,,,2,,,,
EE33569,Khủng long T-Rex,"199,000",1,,,,1,,,,,,,,,
EE33571,Khủng long Stegosuars,"199,000",28,,,,,,,,,23,,5,,
EE33572,Khủng long Triceratops,"199,000",14,,,,,,,,,12,,2,,
EE33609,Cửa hàng thực phẩm,"1,490,000",1,,,1,,,,,,,,,,
EE33672,Lục lạc sư tử,"139,000",42,,,,,,,,,37,,5,,
KG02-3164COL2,Kính mát Frozen 2_KG02-3164COL2,"280,000",2,,,2,,,,,,,,,,
KG2045COL1,Kính mát Sofia 1_KG2045COL1,"280,000",2,,,2,,,,,,,,,,
KG2045COL2,Kính mát Sofia 1_KG2045COL2,"280,000",1,,,1,,,,,,,,,,
KG2791COL1F,Kính mát Frozen 1_KG2791COL1F,"280,000",1,,,1,,,,,,,,,,
KG2791COL1S,Kính mát Sofia 2_KG2791COL1S,"280,000",4,,,4,,,,,,,,,,
KG2791COL2F,Kính mát Frozen 1_KG2791COL2F,"280,000",1,,,1,,,,,,,,,,
KG2845COL1,Kính mát Frozen 1_KG2845COL1,"280,000",20,,,19,,,,,,1,,,,
KG2845COL2,Kính mát Frozen 1_KG2845COL2,"280,000",25,,,25,,,,,,,,,,
KG2865COL1,Kính mát Sofia 1_KG2865COL1,"280,000",35,,,35,,,,,,,,,,
KG2865COL2,Kính mát Sofia 1_KG2865COL2,"280,000",12,,,11,1,,,,,,,,,
KG2876COL1S,Kính mát Sofia 2_KG2876COL1S,"280,000",1,,,1,,,,,,,,,,
KG2973COL1S,Kính mát Sofia 1_KG2973COL1S,"280,000",17,,,17,,,,,,,,,,
KG2973COL2F,Kính mát Frozen 1_KG2973COL2F,"280,000",4,,,4,,,,,,,,,,
KG2973COL2S,Kính mát Sofia 1_KG2973COL2S,"280,000",2,,,2,,,,,,,,,,
KG3031COL2S,Kính mát Sofia 2_KG3031COL2S,"280,000",2,,,,,,,,,,,,2,
KG3032COL2,Kính mát Sofia 1_KG3032COL2,"280,000",1,,,1,,,,,,,,,,
KG3036COL2,Kính mát Frozen 2_KG3036COL2,"280,000",4,,,4,,,,,,,,,,
MICATOONG,Hộp Mica Tổ Ong,,39,,,,,,,,,31,,8,,
PC2229Z,Máy pha cà phê Playcircle,"449,000",3,,,3,,,,,,,,,,
PL4284,Master Bedroom,"679,000",6,3,,3,,,,,,,,,,
PL4790,Princess with Weaving Wheel,"149,000",19,8,,9,2,,,,,,,,,
PL4791,Handyman with Bike,"149,000",2,,,1,,,,,,,,,1,
PL4795,Fireman with Hose,"149,000",1,,,,,,,,,,,,1,
PL4812,Wolf Knight Catapult,"349,000",1,,,,,,,,,,,1,,
PL4848,Templeguard With Orange Lightweapon,"199,000",5,,,5,,,,,,,,,,
PL4849,Templeguard With Orange Lightweapon,"199,000",1,,,1,,,,,,,,,,
PL4877,Agent Detectorjet,"929,000",1,,,1,,,,,,,,,,
PL4879,Spying Camera Set,"3,699,000",1,,,,,,,,,,,1,,
PL5143,Princess with Pegasus Carriage,"799,000",1,,,1,,,,,,,,,,
PL5147,Royal Bath Chamber,"609,000",2,,,2,,,,,,,,,,
PL5161,Click & Go Croc Speedboat,"569,000",2,,,2,,,,,,,,,,
PL5165,Beachgoers Duo Pack,"199,000",1,,,1,,,,,,,,,,
PL5174,Turbo Racer Playset,"849,000",1,,,1,,,,,,,,,,
PL5177,Bank With Safe,"1,990,000",1,,1,,,,,,,,,,,
PL5189,Gymnast (Rings),"129,000",1,,,1,,,,,,,,,,
PL5192,Gymnast (Pommel Horse),"129,000",1,,,1,,,,,,,,,,
PL5194,Judokas,"169,000",1,,,1,,,,,,,,,,
PL5201,Javelin Thrower,"129,000",6,,2,4,,,,,,,,,,
PL5210,Great Dane With Puppy,"329,000",1,,,1,,,,,,,,,,
PL5212,Dalmatians With Puppy,"329,000",1,,,1,,,,,,,,,,
PL5229,Equestrian Vaulting,"369,000",2,,,2,,,,,,,,,,
PL5295,Magician with Genie Lamp,"149,000",4,4,,,,,,,,,,,,
PL5309,Bedroom with dressing table,"759,000",1,1,,,,,,,,,,,,
PL5332,Comfortable Livingroom,"929,000",1,1,,,,,,,,,,,,
PL5335,Posh Dining Room,"429,000",1,1,,,,,,,,,,,,
PL5368,Mother and Child with changing table,"149,000",1,,,1,,,,,,,,,,
PL5370,Fairy with Deer,"149,000",1,,,,,,,,,,,,1,
PL5372,Surfer with Surf Board,"149,000",49,5,14,29,1,,,,,,,,,
PL5373,Cowboy with Foal,"149,000",2,,,2,,,,,,,,,,
PL5374,Ice Sculptor,"169,000",9,,,8,,,,,,,,,1,
PL5375,Garden Princess,"169,000",49,14,10,20,5,,,,,,,,,
PL5376,Young Explorer with Otters,"169,000",7,1,,5,,,,,,,,,1,
PL5377,DJ,"169,000",43,9,9,24,1,,,,,,,,,
PL5378,Pirate with Cannon,"169,000",12,1,,10,1,,,,,,,,,
PL5379,Window Cleaner,"169,000",21,3,,17,,,,,,,,,1,
PL5380,Dog Walker,"169,000",1,,,1,,,,,,,,,,
PL5382,Boy with Go-Kart,"169,000",2,,,2,,,,,,,,,,
PL5383,Ice Hockey Practice,"169,000",5,4,,1,,,,,,,,,,
PL5384,Gem Hunter,"169,000",23,8,,15,,,,,,,,,,
PL5415,Wild Life Gorillas and Okapis,"1,019,000",2,,,2,,,,,,,,,,
PL5448,Forest Fairy Diana with Horse,"379,000",1,,,1,,,,,,,,,,
PL5449,Forest Fairy Surya With Horse,"379,000",2,,,2,,,,,,,,,,
PL5471,Compact Excavator,"1,159,000",1,,,,,,,,,,,1,,
PL5473,Surveyor,"199,000",1,,,1,,,,,,,,,,
PL5554,Spinning Spaceship Ride with Lights,"2,119,000",2,1,,1,,,,,,,,,,
PL5556,Electric Ride Motor,"619,000",24,,,4,,,,,,20,,,,
PL5572,Ball Pit,"419,000",21,2,9,9,1,,,,,,,,,
PL5578,Fitness Room,"389,000",5,2,,3,,,,,,,,,,
PL5664,Tow Truck,"1,490,000",14,4,,4,,,,,,,,6,,
PL5665,Dump Truck,"1,490,000",4,4,,,,,,,,,,,,
PL6148,Model with Catwalk,"1,529,000",2,,,2,,,,,,,,,,
PL6150,Celebrity on the Red Carpet,"449,000",3,2,,1,,,,,,,,,,
PL6179,Take Along Fairy Unicorn,"1,079,000",5,,,1,,,,,3,,,1,,
PL6617,Equestrienne Keyring,"149,000",1,,,,,,,,,,,1,,
PL6618,Princess Keyring,"149,000",1,,1,,,,,,,,,,,
PL6640,Giraffe with Calf,"449,000",10,2,,8,,,,,,,,,,
PL6642,Lion Family,"449,000",3,,,3,,,,,,,,,,
PL6644,Alligator with Babies,"449,000",2,2,,,,,,,,,,,,
PL6645,Tiger Family,"449,000",9,3,,6,,,,,,,,,,
PL6648,Orangutan Family,"449,000",29,9,,20,,,,,,,,,,
PL6649,Penguin Family,"249,000",2,2,,,,,,,,,,,,
PL6651,Flock of Flamingos,"249,000",6,6,,,,,,,,,,,,
PL6652,Panda Family,"249,000",1,1,,,,,,,,,,,,
PL6654,Koala Family,"249,000",1,,,1,,,,,,,,,,
PL6655,Meerkats,"249,000",4,1,,3,,,,,,,,,,
PL6656,Zoo Enclosure,"349,000",1,,,1,,,,,,,,,,
PL6658,Pirate Keyring,"149,000",5,,,,,,,5,,,,,,
PL6663,Child in Wheelchair,"259,000",5,,,5,,,,,,,,,,
PL6664,Fireman Keyring,"149,000",1,,,,,,,,,,,,1,
PL6665,Mermaid Keyring,"149,000",16,,6,1,,,,,,,,9,,
PL6666,Medic Keyring,"149,000",26,,12,4,,,,,,,,10,,
PL6667,Penguin Keyring,"149,000",7,,,2,,,,1,,,,4,,
PL6674,Kid with Kayak,"189,000",1,,,1,,,,,,,,,,
PL6676,River-Rafting Tube,"189,000",15,2,4,7,2,,,,,,,,,
PL6687,Lost Island with Alien and Raptor,"619,000",1,,,1,,,,,,,,,,
PL6688,Musical Flower Tower with Twinkle,"1,959,000",8,,,,,,,,,8,,,,
PL6690,Dr. X,"199,000",16,,6,10,,,,,,,,,,
PL6691,Skyjet,"429,000",1,,,1,,,,,,,,,,
PL6692,Techno Chameleon with Gene,"1,949,000",4,,,4,,,,,,,,,,
PL6698,Royal Guard Sir Ulf,"159,000",10,,,10,,,,,,,,,,
PL6782,Quad Bike,"299,000",1,,,1,,,,,,,,,,
PL6790,Convertible Car,"379,000",2,,1,1,,,,,,,,,,
PL6824,Werewolf,"129,000",39,13,3,17,1,,,,,,,4,1,
PL6825,Indian Princess,"129,000",23,8,,,2,,,,,5,,8,,
PL6826,Acrobat,"129,000",44,5,5,13,1,,,,,13,,7,,
PL6827,Fitness Instructor,"129,000",46,6,7,15,,,,,,8,,10,,
PL6828,Tech Guru,"129,000",1,,1,,,,,,,,,,,
PL6829,Love Fairy with Ring,"129,000",10,3,2,4,1,,,,,,,,,
PL6830,Animal Trainer with Cockatoo,"129,000",14,3,2,6,2,,,,,1,,,,
PL6842,Elf and Dwarf Duo Pack,"199,000",73,11,5,26,8,,,,,5,,18,,
PL6843,Princess and Handmaid,"199,000",22,4,,16,,,,,,,,2,,
PL6844,Scientist with Robot Duo Pack,"199,000",23,2,10,,,,,,,10,,,1,
PL6845,Flamenco Dancers Duo Pack,"199,000",46,2,7,22,9,,,,,,,6,,
PL6853,Masked Ball,"849,000",1,,,1,,,,,,,,,,
PL6958,Car with Horse Trailer,"839,000",4,,,1,,,,,,,,3,,
PL6960,Construction Truck,"649,000",1,,,,,,,,,,,1,,
PL6963,Petting Zoo,"999,000",2,,,2,,,,,,,,,,
PL6965,Farmer's Wife with Hen,"379,000",16,,,8,,,,,,,,8,,
PL6966,Parents with Baby Crad,"299,000",18,,,18,,,,,,,,,,
PL6972,Farmer with Cow,"199,000",11,5,,5,,,,,,,,1,,
PL6973,Equestrian with Horse,"199,000",2,1,,,1,,,,,,,,,
PL6974,Shepherd with Sheep,"199,000",20,8,1,9,1,,1,,,,,,,
PL6975,Woman with Cat,"199,000",28,1,,12,2,1,5,,,,,6,1,
PL6976,Gamekeeper with Tiger,"199,000",21,5,2,7,2,,1,,,,,4,,
PL6977,Woman with Dog,"199,000",31,4,2,9,2,,6,,,,,8,,
PL7350,Motor,"299,000",3,,,3,,,,,,,,,,
PL9072,Royal Lady,"129,000",67,4,8,9,4,,,,,22,,20,,
PL9073,Blade Warrior,"129,000",46,3,10,5,1,,,1,,21,,5,,
PL9074,Zookeeper with Baby Gorilla,"129,000",20,2,2,10,,,,,,5,,,1,
PL9146,Figures Boys S11,"89,000",40,,,40,,,,,,,,,,
PL9147,Figures Girls S11,"89,000",68,,5,63,,,,,,,,,,
16-81502,Ferrari Funny Friend_Laferrari,"749,000",2,,,,,,,,,2,,,,
16-81503,Ferrari Drifters_F14T,"749,000",5,,,,,,,,,3,,,2,
16-81604,Ferrari Touch & Go_458 Italia,"399,000",1,,,,,,,,,1,,,,
16-82002,Ferrari Lil Driver_Laferrari,"589,000",1,,,,,,,,,1,,,,
BFF0016,Doll Kitty_Green,"489,000",7,,,,,,,,,7,,,,
AN2728,Gia đình Ngựa vằn Terra,"559,000",2,,,1,,,,,,,,,,1
AN2732,Gia đình Gấu nâu Terra,"559,000",13,5,,1,,,,,,,,7,,
AN2770Z,Thế giới Rừng rậm Terra,"990,000",7,4,,,1,,,,,,,2,,
AN2771Z,Thế giới Tiền sử Terra,"990,000",12,4,2,2,3,,,,,,,1,,
AN2772Z,Thế giới Đại dương Terra,"990,000",12,2,2,3,1,,,,,,,4,,
AN2774,Gia đình Báo Terra,"559,000",3,,,3,,,,,,,,,,
AN2775,Gia đình Hổ Terra,"599,000",1,,,,,,,,,,,1,,
AN2776,Gia đình Ngựa Terra,"559,000",3,,,3,,,,,,,,,,
